Storage location;Material;Material Description;Batch;Unrestricted;Base Unit of Measure;Material type;Quality Inspection;Transit and Transfer;Restricted-Use Stock;Blocked;Descr. of Storage Loc.
3010;100-024;Braided Poly Suture;RN00061624;11393.04;M;ZROH;0;0;0;0.0;Line Thora
3010;100-032;Braided Poly Suture;RN00061434;5810.0;M;ZROH;0;0;0;0.0;Line Thora
3010;100-047;Green Poly.Braided;RN00062748;2566.0;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-22;22MM T/Wall Plain Weave;26407543;3.41;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-22;22MM T/Wall Plain Weave;26488665;11.0;M;ZROH;0;0;0;0.0;Line Thora
9999;102-102-22;22MM T/Wall Plain Weave;26407542;2.66;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;102-102-24;24MM T/Wall Plain Weave;26382963;6.22;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-24;24MM T/Wall Plain Weave;26488666;5.0;M;ZROH;0;0;0;0.0;Line Thora
9999;102-102-24;24MM T/Wall Plain Weave;26382962;2.45;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;102-102-26;26MM T/Wall Plain Weave;26262251;8.25;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-26;26MM T/Wall Plain Weave;26299184;8.1;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-28;28MM T/Wall Plain Weave;26244636;1.71;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-28;28MM T/Wall Plain Weave;26262252;7.82;M;ZROH;0;0;0;0.0;Line Thora
9999;102-102-28;28MM T/Wall Plain Weave;26221343;1.86;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-28;28MM T/Wall Plain Weave;26244636;2.24;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;102-102-30;30MM T/Wall Plain Weave;26356102;2.28;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-32;32MM T/Wall Plain Weave;26469673;1.68;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-32;32MM T/Wall Plain Weave;26474921;0.0;M;ZROH;0;0;0;2.4;Line Thora
3010;102-102-32;32MM T/Wall Plain Weave;26488672;4.5;M;ZROH;0;0;0;0.0;Line Thora
5004;102-102-32;32MM T/Wall Plain Weave;26469673;0.0;M;ZROH;0;0;0;0.97;QA
5004;102-102-32;32MM T/Wall Plain Weave;26488672;0.0;M;ZROH;0;0;0;0.26;QA
3010;102-102-34;34MM T/Wall Plain Weave;26153932;0.56;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26199818;2.92;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26313377;0.84;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26333034;1.03;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26333035;0.84;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26362434;1.63;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26366384;0.7;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-34;34MM T/Wall Plain Weave;26391107;1.4;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-36;36MM T/Wall Plain Weave;26262255;3.2;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-36;36MM T/Wall Plain Weave;26506947;2.3;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-38;38MM T/Wall Plain Weave;26407546;0.76;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-38;38MM T/Wall Plain Weave;26407549;3.61;M;ZROH;0;0;0;0.0;Line Thora
3010;102-102-38;38MM T/Wall Plain Weave;26484614;1.67;M;ZROH;0;0;0;0.0;Line Thora
5004;102-102-38;38MM T/Wall Plain Weave;26407549;0.0;M;ZROH;0;0;0;0.12;QA
9999;102-102-38;38MM T/Wall Plain Weave;25686793;1.08;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25686794;1.56;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25686795;2.76;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25696362;2.26;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25705013;0.99;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25710805;3.07;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;25710806;3.65;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;26407546;0.06;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;26407547;1.54;M;ZROH;0;0;0;0.0;ThoraFabricRolls
9999;102-102-38;38MM T/Wall Plain Weave;26407549;1.36;M;ZROH;0;0;0;0.0;ThoraFabricRolls
3010;208-003/1;Nitinol str Set Wire;RN00061612;411.28;M;ZROH;0;0;0;0.0;Line Thora
3010;208-004/1;Nitinol str Set Wire;RN00063528;2717.88;M;ZROH;0;0;0;0.0;Line Thora
3010;208-006/1;Nitinol str Set Wire;RN00063035;1565.85;M;ZROH;0;0;0;0.0;Line Thora
3010;208-007/1;Nitinol str Set Wire;RN00062898;498.87;M;ZROH;0;0;0;0.0;Line Thora
3010;208-007/1;Nitinol str Set Wire;RN00063027;2341.25;M;ZROH;0;0;0;283.57;Line Thora
3010;208-008/1;Nitinol str Set Wire;RN00060705;106.71;M;ZROH;0;0;0;0.0;Line Thora
3010;208-008/1;Nitinol str Set Wire;RN00061238;997.74;M;ZROH;0;0;0;0.0;Line Thora
3010;208-013;Wire Tantalum Crimp;RN00061698;864.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-013;Wire Tantalum Crimp;RN00061700;29000.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00061411;1500.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00061414;470.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00062352;1000.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-014;Wire Tantalum Crimp;RN00063337;1916.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-019/1;Nitinol straight Set;RN00061646;1194.66;M;ZROH;0;0;0;0.0;Line Thora
3010;208-020/1;Nitinol str Set Wire;RN00061274;1500.24;M;ZROH;0;0;0;0.0;Line Thora
3010;208-028;Tantalum Marker Bands;RN00063275;4790.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-028;Tantalum Marker Bands;RN00063280;2545.0;EA;ZROH;0;0;0;0.0;Line Thora
3010;208-050;Wire Tantalum Crimp;RN00060155;851.0;EA;ZROH;0;0;0;0.0;Line Thora
3009;28-22-0247-00;Middle Spring 22MM;2310160103;5.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-00;Middle Spring 22MM;2503060063;1.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-01;Middle Spring 24MM;2602240265;39.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-01;Middle Spring 24MM;2603050272;37.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2602230051;7.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020174;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020175;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020186;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-02;Middle Spring 26MM;2603020193;31.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-03;Middle Spring 28MM;2602240026;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-03;Middle Spring 28MM;2602240027;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-03;Middle Spring 28MM;2602240028;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601140524;29.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601140525;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601140557;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601200100;41.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2601270427;9.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2602190171;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0247-04;Middle Spring 30MM;2603020334;41.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2602190136;4.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2602190143;21.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603020330;49.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603020332;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603020333;48.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603110071;50.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-00;Middle Spring 32MM;2603110091;15.0;EA;ZROH;0;0;0;0.0;Line Relay
3009;28-22-0248-01;Middle Spring 34MM;2601220125;0.0;EA;ZROH;0;0;0;1.0;Line Relay
